"","data_action"
"8000","Policy Change"
"8001","First Party Collection/Use"
"8002","Third Party Sharing/Collection"
"8003","Third Party Sharing/Collection"
"8004","First Party Collection/Use"
"8005","Third Party Sharing/Collection"
"8006","Third Party Sharing/Collection"
"8007","Policy Change"
"8008","Third Party Sharing/Collection"
"8009","Third Party Sharing/Collection"
"8010","Data Security"
"8011","Third Party Sharing/Collection"
"8012","Third Party Sharing/Collection"
"8013","Third Party Sharing/Collection"
"8014","Third Party Sharing/Collection"
"8015","Third Party Sharing/Collection"
"8016","Third Party Sharing/Collection"
"8017","Third Party Sharing/Collection"
"8018","Third Party Sharing/Collection"
"8019","Third Party Sharing/Collection"
"8020","Third Party Sharing/Collection"
"8021","Third Party Sharing/Collection"
"8022","Other"
"8023","Third Party Sharing/Collection"
"8024","Third Party Sharing/Collection"
"8025","Third Party Sharing/Collection"
"8026","Third Party Sharing/Collection"
"8027","Third Party Sharing/Collection"
"8028","Third Party Sharing/Collection"
"8029","Third Party Sharing/Collection"
"8030","Third Party Sharing/Collection"
"8031","Third Party Sharing/Collection"
"8032","Third Party Sharing/Collection"
"8033","Third Party Sharing/Collection"
"8034","Third Party Sharing/Collection"
"8035","Third Party Sharing/Collection"
"8036","Other"
"8037","User Choice/Control"
"8038","Other"
"8039","Third Party Sharing/Collection"
"8040","Third Party Sharing/Collection"
"8041","Third Party Sharing/Collection"
"8042","Third Party Sharing/Collection"
"8043","Third Party Sharing/Collection"
"8044","Third Party Sharing/Collection"
"8045","Third Party Sharing/Collection"
"8046","Third Party Sharing/Collection"
"8047","Third Party Sharing/Collection"
"8048","Third Party Sharing/Collection"
"8049","Third Party Sharing/Collection"
"8050","Third Party Sharing/Collection"
"8051","Third Party Sharing/Collection"
"8052","Third Party Sharing/Collection"
"8053","Third Party Sharing/Collection"
"8054","Third Party Sharing/Collection"
"8055","Third Party Sharing/Collection"
"8056","Third Party Sharing/Collection"
"8057","Other"
"8058","Third Party Sharing/Collection"
"8059","Third Party Sharing/Collection"
"8060","Third Party Sharing/Collection"
"8061","Third Party Sharing/Collection"
"8062","Third Party Sharing/Collection"
"8063","Third Party Sharing/Collection"
"8064","Third Party Sharing/Collection"
"8065","Third Party Sharing/Collection"
"8066","Third Party Sharing/Collection"
"8067","User Access, Edit and Deletion"
"8068","User Access, Edit and Deletion"
"8069","User Access, Edit and Deletion"
"8070","User Access, Edit and Deletion"
"8071","User Access, Edit and Deletion"
"8072","User Access, Edit and Deletion"
"8073","User Access, Edit and Deletion"
"8074","User Choice/Control"
"8075","User Access, Edit and Deletion"
"8076","User Choice/Control"
"8077","International and Specific Audiences"
"8078","International and Specific Audiences"
"8079","Data Retention"
"8080","User Access, Edit and Deletion"
"8081","User Access, Edit and Deletion"
"8082","User Access, Edit and Deletion"
"8083","User Access, Edit and Deletion"
"8084","Policy Change"
"8085","International and Specific Audiences"
"8086","International and Specific Audiences"
"8087","User Choice/Control"
"8088","User Choice/Control"
"8089","International and Specific Audiences"
"8090","International and Specific Audiences"
"8091","Other"
"8092","Other"
"8093","Other"
"8094","User Access, Edit and Deletion"
"8095","Data Security"
"8096","Data Security"
"8097","Data Security"
"8098","Data Security"
"8099","Data Security"
"8100","Data Security"
"8101","Data Security"
"8102","Other"
"8103","Data Security"
"8104","Other"
"8105","Data Security"
"8106","International and Specific Audiences"
"8107","User Choice/Control"
"8108","User Choice/Control"
"8109","International and Specific Audiences"
"8110","Other"
"8111","User Choice/Control"
"8112","International and Specific Audiences"
"8113","Other"
"8114","International and Specific Audiences"
"8115","User Choice/Control"
"8116","International and Specific Audiences"
"8117","International and Specific Audiences"
"8118","Other"
"8119","Policy Change"
"8120","Policy Change"
"8121","Policy Change"
"8122","Policy Change"
"8123","Policy Change"
"8124","Other"
"8125","Other"
"8126","Other"
"8127","Data Security"
"8128","Other"
"8129","Data Security"
"8130","Third Party Sharing/Collection"
"8131","Third Party Sharing/Collection"
"8132","Other"
"8133","Other"
"8134","Other"
"8135","Other"
"8136","Other"
"8137","Other"
"8138","Other"
"8139","Other"
"8140","First Party Collection/Use"
"8141","First Party Collection/Use"
"8142","First Party Collection/Use"
"8143","First Party Collection/Use"
"8144","First Party Collection/Use"
"8145","First Party Collection/Use"
"8146","First Party Collection/Use"
"8147","First Party Collection/Use"
"8148","First Party Collection/Use"
"8149","First Party Collection/Use"
"8150","First Party Collection/Use"
"8151","First Party Collection/Use"
"8152","First Party Collection/Use"
"8153","First Party Collection/Use"
"8154","User Choice/Control"
"8155","User Choice/Control"
"8156","First Party Collection/Use"
"8157","First Party Collection/Use"
"8158","Other"
"8159","Third Party Sharing/Collection"
"8160","Other"
"8161","Third Party Sharing/Collection"
"8162","First Party Collection/Use"
"8163","First Party Collection/Use"
"8164","First Party Collection/Use"
"8165","Third Party Sharing/Collection"
"8166","First Party Collection/Use"
"8167","First Party Collection/Use"
"8168","First Party Collection/Use"
"8169","First Party Collection/Use"
"8170","First Party Collection/Use"
"8171","First Party Collection/Use"
"8172","First Party Collection/Use"
"8173","First Party Collection/Use"
"8174","First Party Collection/Use"
"8175","First Party Collection/Use"
"8176","First Party Collection/Use"
"8177","First Party Collection/Use"
"8178","First Party Collection/Use"
"8179","First Party Collection/Use"
"8180","Third Party Sharing/Collection"
"8181","Third Party Sharing/Collection"
"8182","Third Party Sharing/Collection"
"8183","Third Party Sharing/Collection"
"8184","Third Party Sharing/Collection"
"8185","Third Party Sharing/Collection"
"8186","Third Party Sharing/Collection"
"8187","Third Party Sharing/Collection"
"8188","First Party Collection/Use"
"8189","Third Party Sharing/Collection"
"8190","Third Party Sharing/Collection"
"8191","Third Party Sharing/Collection"
"8192","First Party Collection/Use"
"8193","First Party Collection/Use"
"8194","Third Party Sharing/Collection"
"8195","Third Party Sharing/Collection"
"8196","First Party Collection/Use"
"8197","Third Party Sharing/Collection"
"8198","Third Party Sharing/Collection"
"8199","Third Party Sharing/Collection"
"8200","Third Party Sharing/Collection"
"8201","First Party Collection/Use"
"8202","First Party Collection/Use"
"8203","Third Party Sharing/Collection"
"8204","Third Party Sharing/Collection"
"8205","Third Party Sharing/Collection"
"8206","First Party Collection/Use"
"8207","Third Party Sharing/Collection"
"8208","First Party Collection/Use"
"8209","Third Party Sharing/Collection"
"8210","First Party Collection/Use"
"8211","Third Party Sharing/Collection"
"8212","First Party Collection/Use"
"8213","Third Party Sharing/Collection"
"8214","First Party Collection/Use"
"8215","First Party Collection/Use"
"8216","Third Party Sharing/Collection"
"8217","First Party Collection/Use"
"8218","Third Party Sharing/Collection"
"8219","First Party Collection/Use"
"8220","Third Party Sharing/Collection"
"8221","First Party Collection/Use"
"8222","First Party Collection/Use"
"8223","First Party Collection/Use"
"8224","Third Party Sharing/Collection"
"8225","Third Party Sharing/Collection"
"8226","First Party Collection/Use"
"8227","User Choice/Control"
"8228","First Party Collection/Use"
"8229","First Party Collection/Use"
"8230","First Party Collection/Use"
"8231","First Party Collection/Use"
"8232","First Party Collection/Use"
"8233","First Party Collection/Use"
"8234","First Party Collection/Use"
"8235","First Party Collection/Use"
"8236","First Party Collection/Use"
"8237","First Party Collection/Use"
"8238","First Party Collection/Use"
"8239","Third Party Sharing/Collection"
"8240","Third Party Sharing/Collection"
"8241","Third Party Sharing/Collection"
"8242","Third Party Sharing/Collection"
"8243","Third Party Sharing/Collection"
"8244","First Party Collection/Use"
"8245","First Party Collection/Use"
"8246","First Party Collection/Use"
"8247","First Party Collection/Use"
"8248","First Party Collection/Use"
"8249","First Party Collection/Use"
"8250","First Party Collection/Use"
"8251","First Party Collection/Use"
"8252","Third Party Sharing/Collection"
"8253","Third Party Sharing/Collection"
"8254","Third Party Sharing/Collection"
"8255","Third Party Sharing/Collection"
"8256","Third Party Sharing/Collection"
"8257","First Party Collection/Use"
"8258","First Party Collection/Use"
"8259","First Party Collection/Use"
"8260","First Party Collection/Use"
"8261","First Party Collection/Use"
"8262","Third Party Sharing/Collection"
"8263","Third Party Sharing/Collection"
"8264","Third Party Sharing/Collection"
"8265","Third Party Sharing/Collection"
"8266","Third Party Sharing/Collection"
"8267","Third Party Sharing/Collection"
"8268","First Party Collection/Use"
"8269","Third Party Sharing/Collection"
"8270","First Party Collection/Use"
"8271","First Party Collection/Use"
"8272","Third Party Sharing/Collection"
"8273","Third Party Sharing/Collection"
"8274","First Party Collection/Use"
"8275","Third Party Sharing/Collection"
"8276","Third Party Sharing/Collection"
"8277","First Party Collection/Use"
"8278","Third Party Sharing/Collection"
"8279","Third Party Sharing/Collection"
"8280","Third Party Sharing/Collection"
"8281","Third Party Sharing/Collection"
"8282","Third Party Sharing/Collection"
"8283","Third Party Sharing/Collection"
"8284","Third Party Sharing/Collection"
"8285","Third Party Sharing/Collection"
"8286","Third Party Sharing/Collection"
"8287","Third Party Sharing/Collection"
"8288","Third Party Sharing/Collection"
"8289","Third Party Sharing/Collection"
"8290","Third Party Sharing/Collection"
"8291","First Party Collection/Use"
"8292","First Party Collection/Use"
"8293","Third Party Sharing/Collection"
"8294","Third Party Sharing/Collection"
"8295","User Choice/Control"
"8296","User Access, Edit and Deletion"
"8297","User Access, Edit and Deletion"
"8298","User Access, Edit and Deletion"
"8299","User Access, Edit and Deletion"
"8300","User Access, Edit and Deletion"
"8301","User Choice/Control"
"8302","User Choice/Control"
"8303","User Choice/Control"
"8304","First Party Collection/Use"
"8305","First Party Collection/Use"
"8306","User Access, Edit and Deletion"
"8307","User Access, Edit and Deletion"
"8308","User Access, Edit and Deletion"
"8309","User Access, Edit and Deletion"
"8310","User Access, Edit and Deletion"
"8311","Other"
"8312","User Access, Edit and Deletion"
"8313","User Access, Edit and Deletion"
"8314","Other"
"8315","User Access, Edit and Deletion"
"8316","User Access, Edit and Deletion"
"8317","Data Retention"
"8318","Third Party Sharing/Collection"
"8319","Other"
"8320","Other"
"8321","Data Security"
"8322","Data Security"
"8323","Other"
"8324","Other"
"8325","International and Specific Audiences"
"8326","Other"
"8327","Other"
"8328","International and Specific Audiences"
"8329","First Party Collection/Use"
"8330","First Party Collection/Use"
"8331","First Party Collection/Use"
"8332","Other"
"8333","Other"
"8334","Other"
"8335","Policy Change"
"8336","Policy Change"
"8337","Policy Change"
"8338","Other"
"8339","Data Security"
"8340","Other"
"8341","Other"
"8342","Policy Change"
"8343","Other"
"8344","Other"
"8345","Other"
"8346","First Party Collection/Use"
"8347","First Party Collection/Use"
"8348","Other"
"8349","First Party Collection/Use"
"8350","First Party Collection/Use"
"8351","First Party Collection/Use"
"8352","First Party Collection/Use"
"8353","First Party Collection/Use"
"8354","First Party Collection/Use"
"8355","First Party Collection/Use"
"8356","First Party Collection/Use"
"8357","First Party Collection/Use"
"8358","First Party Collection/Use"
"8359","First Party Collection/Use"
"8360","First Party Collection/Use"
"8361","First Party Collection/Use"
"8362","First Party Collection/Use"
"8363","First Party Collection/Use"
"8364","First Party Collection/Use"
"8365","First Party Collection/Use"
"8366","First Party Collection/Use"
"8367","First Party Collection/Use"
"8368","First Party Collection/Use"
"8369","First Party Collection/Use"
"8370","First Party Collection/Use"
"8371","First Party Collection/Use"
"8372","First Party Collection/Use"
"8373","First Party Collection/Use"
"8374","First Party Collection/Use"
"8375","First Party Collection/Use"
"8376","First Party Collection/Use"
"8377","First Party Collection/Use"
"8378","First Party Collection/Use"
"8379","First Party Collection/Use"
"8380","First Party Collection/Use"
"8381","First Party Collection/Use"
"8382","First Party Collection/Use"
"8383","First Party Collection/Use"
"8384","First Party Collection/Use"
"8385","First Party Collection/Use"
"8386","First Party Collection/Use"
"8387","First Party Collection/Use"
"8388","First Party Collection/Use"
"8389","First Party Collection/Use"
"8390","First Party Collection/Use"
"8391","First Party Collection/Use"
"8392","First Party Collection/Use"
"8393","First Party Collection/Use"
"8394","First Party Collection/Use"
"8395","First Party Collection/Use"
"8396","First Party Collection/Use"
"8397","First Party Collection/Use"
"8398","First Party Collection/Use"
"8399","First Party Collection/Use"
"8400","First Party Collection/Use"
"8401","First Party Collection/Use"
"8402","First Party Collection/Use"
"8403","First Party Collection/Use"
"8404","First Party Collection/Use"
"8405","First Party Collection/Use"
"8406","First Party Collection/Use"
"8407","First Party Collection/Use"
"8408","First Party Collection/Use"
"8409","First Party Collection/Use"
"8410","First Party Collection/Use"
"8411","First Party Collection/Use"
"8412","First Party Collection/Use"
"8413","First Party Collection/Use"
"8414","First Party Collection/Use"
"8415","First Party Collection/Use"
"8416","First Party Collection/Use"
"8417","First Party Collection/Use"
"8418","First Party Collection/Use"
"8419","First Party Collection/Use"
"8420","Third Party Sharing/Collection"
"8421","Other"
"8422","First Party Collection/Use"
"8423","First Party Collection/Use"
"8424","Third Party Sharing/Collection"
"8425","First Party Collection/Use"
"8426","First Party Collection/Use"
"8427","First Party Collection/Use"
"8428","Do Not Track"
"8429","First Party Collection/Use"
"8430","First Party Collection/Use"
"8431","First Party Collection/Use"
"8432","Do Not Track"
"8433","First Party Collection/Use"
"8434","First Party Collection/Use"
"8435","First Party Collection/Use"
"8436","First Party Collection/Use"
"8437","First Party Collection/Use"
"8438","First Party Collection/Use"
"8439","First Party Collection/Use"
"8440","First Party Collection/Use"
"8441","First Party Collection/Use"
"8442","First Party Collection/Use"
"8443","First Party Collection/Use"
"8444","First Party Collection/Use"
"8445","First Party Collection/Use"
"8446","First Party Collection/Use"
"8447","Third Party Sharing/Collection"
"8448","Third Party Sharing/Collection"
"8449","Third Party Sharing/Collection"
"8450","Third Party Sharing/Collection"
"8451","Third Party Sharing/Collection"
"8452","Third Party Sharing/Collection"
"8453","Other"
"8454","First Party Collection/Use"
"8455","First Party Collection/Use"
"8456","Policy Change"
"8457","First Party Collection/Use"
"8458","First Party Collection/Use"
"8459","First Party Collection/Use"
"8460","First Party Collection/Use"
"8461","Third Party Sharing/Collection"
"8462","Third Party Sharing/Collection"
"8463","Third Party Sharing/Collection"
"8464","Third Party Sharing/Collection"
"8465","Third Party Sharing/Collection"
"8466","Third Party Sharing/Collection"
"8467","Third Party Sharing/Collection"
"8468","Third Party Sharing/Collection"
"8469","Third Party Sharing/Collection"
"8470","Third Party Sharing/Collection"
"8471","Third Party Sharing/Collection"
"8472","Third Party Sharing/Collection"
"8473","Third Party Sharing/Collection"
"8474","Third Party Sharing/Collection"
"8475","Third Party Sharing/Collection"
"8476","Third Party Sharing/Collection"
"8477","Third Party Sharing/Collection"
"8478","Third Party Sharing/Collection"
"8479","Third Party Sharing/Collection"
"8480","Other"
"8481","Third Party Sharing/Collection"
"8482","Third Party Sharing/Collection"
"8483","Third Party Sharing/Collection"
"8484","Third Party Sharing/Collection"
"8485","User Access, Edit and Deletion"
"8486","User Access, Edit and Deletion"
"8487","User Access, Edit and Deletion"
"8488","User Access, Edit and Deletion"
"8489","User Access, Edit and Deletion"
"8490","User Access, Edit and Deletion"
"8491","User Access, Edit and Deletion"
"8492","User Access, Edit and Deletion"
"8493","User Choice/Control"
"8494","User Choice/Control"
"8495","User Choice/Control"
"8496","User Access, Edit and Deletion"
"8497","User Access, Edit and Deletion"
"8498","User Access, Edit and Deletion"
"8499","User Choice/Control"
"8500","User Choice/Control"
"8501","User Choice/Control"
"8502","Other"
"8503","User Access, Edit and Deletion"
"8504","User Choice/Control"
"8505","Other"
"8506","First Party Collection/Use"
"8507","User Choice/Control"
"8508","International and Specific Audiences"
"8509","International and Specific Audiences"
"8510","First Party Collection/Use"
"8511","First Party Collection/Use"
"8512","International and Specific Audiences"
"8513","International and Specific Audiences"
"8514","First Party Collection/Use"
"8515","Third Party Sharing/Collection"
"8516","International and Specific Audiences"
"8517","International and Specific Audiences"
"8518","First Party Collection/Use"
"8519","International and Specific Audiences"
"8520","User Access, Edit and Deletion"
"8521","User Access, Edit and Deletion"
"8522","User Access, Edit and Deletion"
"8523","User Access, Edit and Deletion"
"8524","International and Specific Audiences"
"8525","Data Retention"
"8526","Data Retention"
"8527","Data Security"
"8528","Data Retention"
"8529","Data Security"
"8530","International and Specific Audiences"
"8531","International and Specific Audiences"
"8532","Data Security"
"8533","International and Specific Audiences"
"8534","International and Specific Audiences"
"8535","Data Security"
"8536","Data Security"
"8537","Data Security"
"8538","Policy Change"
"8539","Policy Change"
"8540","Policy Change"
"8541","Other"
"8542","Other"
"8543","International and Specific Audiences"
"8544","International and Specific Audiences"
"8545","International and Specific Audiences"
"8546","User Access, Edit and Deletion"
"8547","Other"
"8548","Other"
"8549","Other"
"8550","International and Specific Audiences"
"8551","Other"
"8552","Other"
"8553","Other"
"8554","Other"
"8555","Other"
"8556","Other"
"8557","First Party Collection/Use"
"8558","First Party Collection/Use"
"8559","First Party Collection/Use"
"8560","Other"
"8561","Other"
"8562","Policy Change"
"8563","Policy Change"
"8564","Policy Change"
"8565","International and Specific Audiences"
"8566","Other"
"8567","Other"
"8568","User Access, Edit and Deletion"
"8569","User Access, Edit and Deletion"
"8570","First Party Collection/Use"
"8571","Third Party Sharing/Collection"
"8572","Third Party Sharing/Collection"
"8573","Other"
"8574","Other"
"8575","Other"
"8576","Other"
"8577","International and Specific Audiences"
"8578","Other"
"8579","Data Security"
"8580","Other"
"8581","Other"
"8582","Policy Change"
"8583","Other"
"8584","Policy Change"
"8585","Policy Change"
"8586","Other"
"8587","Policy Change"
"8588","First Party Collection/Use"
"8589","First Party Collection/Use"
"8590","First Party Collection/Use"
"8591","First Party Collection/Use"
"8592","First Party Collection/Use"
"8593","First Party Collection/Use"
"8594","First Party Collection/Use"
"8595","First Party Collection/Use"
"8596","First Party Collection/Use"
"8597","First Party Collection/Use"
"8598","First Party Collection/Use"
"8599","First Party Collection/Use"
"8600","Other"
"8601","First Party Collection/Use"
"8602","First Party Collection/Use"
"8603","First Party Collection/Use"
"8604","First Party Collection/Use"
"8605","First Party Collection/Use"
"8606","First Party Collection/Use"
"8607","First Party Collection/Use"
"8608","First Party Collection/Use"
"8609","First Party Collection/Use"
"8610","First Party Collection/Use"
"8611","First Party Collection/Use"
"8612","First Party Collection/Use"
"8613","First Party Collection/Use"
"8614","First Party Collection/Use"
"8615","First Party Collection/Use"
"8616","First Party Collection/Use"
"8617","First Party Collection/Use"
"8618","First Party Collection/Use"
"8619","First Party Collection/Use"
"8620","First Party Collection/Use"
"8621","First Party Collection/Use"
"8622","Third Party Sharing/Collection"
"8623","Third Party Sharing/Collection"
"8624","Third Party Sharing/Collection"
"8625","First Party Collection/Use"
"8626","Third Party Sharing/Collection"
"8627","Third Party Sharing/Collection"
"8628","First Party Collection/Use"
"8629","Third Party Sharing/Collection"
"8630","Third Party Sharing/Collection"
"8631","First Party Collection/Use"
"8632","First Party Collection/Use"
"8633","First Party Collection/Use"
"8634","First Party Collection/Use"
"8635","First Party Collection/Use"
"8636","First Party Collection/Use"
"8637","First Party Collection/Use"
"8638","First Party Collection/Use"
"8639","First Party Collection/Use"
"8640","First Party Collection/Use"
"8641","First Party Collection/Use"
"8642","First Party Collection/Use"
"8643","Third Party Sharing/Collection"
"8644","Third Party Sharing/Collection"
"8645","First Party Collection/Use"
"8646","Third Party Sharing/Collection"
"8647","First Party Collection/Use"
"8648","Third Party Sharing/Collection"
"8649","Third Party Sharing/Collection"
"8650","Third Party Sharing/Collection"
"8651","Third Party Sharing/Collection"
"8652","Third Party Sharing/Collection"
"8653","Third Party Sharing/Collection"
"8654","Third Party Sharing/Collection"
"8655","Third Party Sharing/Collection"
"8656","Third Party Sharing/Collection"
"8657","Third Party Sharing/Collection"
"8658","Third Party Sharing/Collection"
"8659","Third Party Sharing/Collection"
"8660","Third Party Sharing/Collection"
"8661","Third Party Sharing/Collection"
"8662","Third Party Sharing/Collection"
"8663","Third Party Sharing/Collection"
"8664","Third Party Sharing/Collection"
"8665","Third Party Sharing/Collection"
"8666","Third Party Sharing/Collection"
"8667","Third Party Sharing/Collection"
"8668","Other"
"8669","Third Party Sharing/Collection"
"8670","Third Party Sharing/Collection"
"8671","Third Party Sharing/Collection"
"8672","Third Party Sharing/Collection"
"8673","Do Not Track"
"8674","First Party Collection/Use"
"8675","First Party Collection/Use"
"8676","First Party Collection/Use"
"8677","First Party Collection/Use"
"8678","First Party Collection/Use"
"8679","First Party Collection/Use"
"8680","First Party Collection/Use"
"8681","First Party Collection/Use"
"8682","First Party Collection/Use"
"8683","First Party Collection/Use"
"8684","First Party Collection/Use"
"8685","First Party Collection/Use"
"8686","First Party Collection/Use"
"8687","First Party Collection/Use"
"8688","First Party Collection/Use"
"8689","First Party Collection/Use"
"8690","First Party Collection/Use"
"8691","First Party Collection/Use"
"8692","First Party Collection/Use"
"8693","First Party Collection/Use"
"8694","Third Party Sharing/Collection"
"8695","First Party Collection/Use"
"8696","First Party Collection/Use"
"8697","Third Party Sharing/Collection"
"8698","Third Party Sharing/Collection"
"8699","Third Party Sharing/Collection"
"8700","Third Party Sharing/Collection"
"8701","Third Party Sharing/Collection"
"8702","Third Party Sharing/Collection"
"8703","Third Party Sharing/Collection"
"8704","Third Party Sharing/Collection"
"8705","Third Party Sharing/Collection"
"8706","Third Party Sharing/Collection"
"8707","Data Security"
"8708","Third Party Sharing/Collection"
"8709","Third Party Sharing/Collection"
"8710","Third Party Sharing/Collection"
"8711","Third Party Sharing/Collection"
"8712","Third Party Sharing/Collection"
"8713","Other"
"8714","Third Party Sharing/Collection"
"8715","Other"
"8716","Third Party Sharing/Collection"
"8717","Third Party Sharing/Collection"
"8718","Third Party Sharing/Collection"
"8719","Third Party Sharing/Collection"
"8720","Third Party Sharing/Collection"
"8721","Third Party Sharing/Collection"
"8722","Third Party Sharing/Collection"
"8723","Third Party Sharing/Collection"
"8724","Third Party Sharing/Collection"
"8725","Third Party Sharing/Collection"
"8726","Third Party Sharing/Collection"
"8727","Third Party Sharing/Collection"
"8728","Third Party Sharing/Collection"
"8729","Third Party Sharing/Collection"
"8730","Other"
"8731","User Choice/Control"
"8732","User Choice/Control"
"8733","User Choice/Control"
"8734","First Party Collection/Use"
"8735","User Choice/Control"
"8736","User Choice/Control"
"8737","User Choice/Control"
"8738","User Choice/Control"
"8739","Other"
"8740","Third Party Sharing/Collection"
"8741","Third Party Sharing/Collection"
"8742","User Choice/Control"
"8743","User Choice/Control"
"8744","User Choice/Control"
"8745","User Choice/Control"
"8746","User Choice/Control"
"8747","User Choice/Control"
"8748","User Choice/Control"
"8749","Other"
"8750","International and Specific Audiences"
"8751","International and Specific Audiences"
"8752","International and Specific Audiences"
"8753","Other"
"8754","Data Security"
"8755","Data Retention"
"8756","Data Retention"
"8757","Data Retention"
"8758","Data Retention"
"8759","Data Retention"
"8760","Data Retention"
"8761","Other"
"8762","First Party Collection/Use"
"8763","First Party Collection/Use"
"8764","International and Specific Audiences"
"8765","Other"
"8766","First Party Collection/Use"
"8767","International and Specific Audiences"
"8768","International and Specific Audiences"
"8769","Other"
"8770","International and Specific Audiences"
"8771","User Access, Edit and Deletion"
"8772","User Access, Edit and Deletion"
"8773","User Access, Edit and Deletion"
"8774","User Access, Edit and Deletion"
"8775","User Access, Edit and Deletion"
"8776","Other"
"8777","Other"
"8778","User Access, Edit and Deletion"
"8779","User Access, Edit and Deletion"
"8780","User Access, Edit and Deletion"
"8781","User Access, Edit and Deletion"
"8782","User Access, Edit and Deletion"
"8783","Other"
"8784","Other"
"8785","Other"
"8786","Other"
"8787","First Party Collection/Use"
"8788","First Party Collection/Use"
"8789","First Party Collection/Use"
"8790","First Party Collection/Use"
"8791","First Party Collection/Use"
"8792","First Party Collection/Use"
"8793","First Party Collection/Use"
"8794","First Party Collection/Use"
"8795","Other"
"8796","First Party Collection/Use"
"8797","First Party Collection/Use"
"8798","First Party Collection/Use"
"8799","First Party Collection/Use"
"8800","First Party Collection/Use"
"8801","First Party Collection/Use"
"8802","First Party Collection/Use"
"8803","First Party Collection/Use"
"8804","First Party Collection/Use"
"8805","First Party Collection/Use"
"8806","First Party Collection/Use"
"8807","First Party Collection/Use"
"8808","First Party Collection/Use"
"8809","First Party Collection/Use"
"8810","First Party Collection/Use"
"8811","First Party Collection/Use"
"8812","First Party Collection/Use"
"8813","First Party Collection/Use"
"8814","First Party Collection/Use"
"8815","First Party Collection/Use"
"8816","First Party Collection/Use"
"8817","First Party Collection/Use"
"8818","First Party Collection/Use"
"8819","First Party Collection/Use"
"8820","First Party Collection/Use"
"8821","First Party Collection/Use"
"8822","First Party Collection/Use"
"8823","First Party Collection/Use"
"8824","First Party Collection/Use"
"8825","First Party Collection/Use"
"8826","First Party Collection/Use"
"8827","First Party Collection/Use"
"8828","First Party Collection/Use"
"8829","First Party Collection/Use"
"8830","First Party Collection/Use"
"8831","User Choice/Control"
"8832","First Party Collection/Use"
"8833","First Party Collection/Use"
"8834","First Party Collection/Use"
"8835","First Party Collection/Use"
"8836","First Party Collection/Use"
"8837","First Party Collection/Use"
"8838","First Party Collection/Use"
"8839","First Party Collection/Use"
"8840","First Party Collection/Use"
"8841","First Party Collection/Use"
"8842","First Party Collection/Use"
"8843","First Party Collection/Use"
"8844","Other"
"8845","User Choice/Control"
"8846","User Choice/Control"
"8847","User Choice/Control"
"8848","First Party Collection/Use"
"8849","First Party Collection/Use"
"8850","First Party Collection/Use"
"8851","First Party Collection/Use"
"8852","First Party Collection/Use"
"8853","First Party Collection/Use"
"8854","First Party Collection/Use"
"8855","First Party Collection/Use"
"8856","First Party Collection/Use"
"8857","First Party Collection/Use"
"8858","First Party Collection/Use"
"8859","First Party Collection/Use"
"8860","First Party Collection/Use"
"8861","First Party Collection/Use"
"8862","First Party Collection/Use"
"8863","First Party Collection/Use"
"8864","First Party Collection/Use"
"8865","Other"
"8866","Third Party Sharing/Collection"
"8867","Third Party Sharing/Collection"
"8868","Third Party Sharing/Collection"
"8869","Third Party Sharing/Collection"
"8870","Third Party Sharing/Collection"
"8871","Third Party Sharing/Collection"
"8872","Third Party Sharing/Collection"
"8873","Other"
"8874","Third Party Sharing/Collection"
"8875","Third Party Sharing/Collection"
"8876","Third Party Sharing/Collection"
"8877","Third Party Sharing/Collection"
"8878","Third Party Sharing/Collection"
"8879","Third Party Sharing/Collection"
"8880","Third Party Sharing/Collection"
"8881","Third Party Sharing/Collection"
"8882","Third Party Sharing/Collection"
"8883","Third Party Sharing/Collection"
"8884","Third Party Sharing/Collection"
"8885","Third Party Sharing/Collection"
"8886","Third Party Sharing/Collection"
"8887","Third Party Sharing/Collection"
"8888","User Choice/Control"
"8889","Third Party Sharing/Collection"
"8890","Other"
"8891","Third Party Sharing/Collection"
"8892","Third Party Sharing/Collection"
"8893","Third Party Sharing/Collection"
"8894","Third Party Sharing/Collection"
"8895","Third Party Sharing/Collection"
"8896","Third Party Sharing/Collection"
"8897","Third Party Sharing/Collection"
"8898","Third Party Sharing/Collection"
"8899","Third Party Sharing/Collection"
"8900","Third Party Sharing/Collection"
"8901","Third Party Sharing/Collection"
"8902","First Party Collection/Use"
"8903","Third Party Sharing/Collection"
"8904","Third Party Sharing/Collection"
"8905","Third Party Sharing/Collection"
"8906","Third Party Sharing/Collection"
"8907","Third Party Sharing/Collection"
"8908","Third Party Sharing/Collection"
"8909","Third Party Sharing/Collection"
"8910","Third Party Sharing/Collection"
"8911","Third Party Sharing/Collection"
"8912","Other"
"8913","Other"
"8914","User Access, Edit and Deletion"
"8915","User Access, Edit and Deletion"
"8916","User Access, Edit and Deletion"
"8917","User Access, Edit and Deletion"
"8918","Other"
"8919","User Choice/Control"
"8920","First Party Collection/Use"
"8921","User Choice/Control"
"8922","User Choice/Control"
"8923","User Choice/Control"
"8924","Data Security"
"8925","International and Specific Audiences"
"8926","International and Specific Audiences"
"8927","International and Specific Audiences"
"8928","International and Specific Audiences"
"8929","Other"
"8930","International and Specific Audiences"
"8931","Do Not Track"
"8932","Do Not Track"
"8933","International and Specific Audiences"
"8934","First Party Collection/Use"
"8935","First Party Collection/Use"
"8936","International and Specific Audiences"
